,geometry,name
0,POINT (103.74767 1.39707),CHOA CHU KANG
0,POINT (103.7477 1.32302),JURONG EAST
0,POINT (103.747748333333 1.36344283333333),BUKIT BATOK
0,POINT (103.74781 1.33957),JURONG EAST
0,POINT (103.74784 1.35405),BUKIT BATOK
0,POINT (103.74784 1.36107),BUKIT BATOK
0,POINT (103.747847 1.362459),BUKIT BATOK
0,POINT (103.74804 1.3473),BUKIT BATOK
0,POINT (103.7480455 1.39566283333333),CHOA CHU KANG
0,POINT (103.74813 1.35364),BUKIT BATOK
0,POINT (103.74822 1.37744),CHOA CHU KANG
0,POINT (103.74825 1.37775),CHOA CHU KANG
0,POINT (103.748306833333 1.38097966666667),CHOA CHU KANG
0,POINT (103.74837 1.36197),BUKIT BATOK
0,POINT (103.748400833333 1.3524275),BUKIT BATOK
0,POINT (103.74848 1.36184),BUKIT BATOK
0,POINT (103.7484955 1.3498805),BUKIT BATOK
0,POINT (103.74859 1.33293),JURONG EAST
0,POINT (103.74863 1.31975),JURONG EAST
0,POINT (103.748699 1.36152633333333),BUKIT BATOK
0,POINT (103.748782666667 1.4038725),CHOA CHU KANG
0,POINT (103.7488 1.37883),CHOA CHU KANG
0,POINT (103.7490075 1.37896333333333),CHOA CHU KANG
0,POINT (103.7492 1.3583),BUKIT BATOK
0,POINT (103.74942 1.37733),CHOA CHU KANG
0,POINT (103.74947 1.35206),BUKIT BATOK
0,POINT (103.7498 1.32264),JURONG EAST
0,POINT (103.749852 1.37824383333333),CHOA CHU KANG
0,POINT (103.749915333333 1.3927245),CHOA CHU KANG
0,POINT (103.74992 1.4076),SUNGEI KADUT
0,POINT (103.75007 1.38961),CHOA CHU KANG
0,POINT (103.750201166667 1.346624),BUKIT BATOK
0,POINT (103.75022 1.40711),SUNGEI KADUT
0,POINT (103.75025 1.40714),SUNGEI KADUT
0,POINT (103.75027 1.37751),CHOA CHU KANG
0,POINT (103.7502965 1.32066066666667),JURONG EAST
0,POINT (103.750297166667 1.32069333333333),JURONG EAST
0,POINT (103.750311 1.40098533333333),CHOA CHU KANG
0,POINT (103.7504 1.399877),CHOA CHU KANG
0,POINT (103.75046 1.40762),SUNGEI KADUT
0,POINT (103.75053 1.38278),CHOA CHU KANG
0,POINT (103.75059 1.3607),BUKIT BATOK
0,POINT (103.7506 1.36725),BUKIT BATOK
0,POINT (103.7506 1.383961),CHOA CHU KANG
0,POINT (103.750600333333 1.381986),CHOA CHU KANG
0,POINT (103.750601166667 1.36290233333333),BUKIT BATOK
0,POINT (103.75093 1.3564),BUKIT BATOK
0,POINT (103.75104 1.32228),JURONG EAST
0,POINT (103.751055333333 1.34593416666667),BUKIT BATOK
0,POINT (103.751058166667 1.34592466666667),BUKIT BATOK
0,POINT (103.751090383333 1.40206696666667),CHOA CHU KANG
0,POINT (103.75138 1.40393),CHOA CHU KANG
0,POINT (103.7513955 1.40199066666667),CHOA CHU KANG
0,POINT (103.75143 1.36233),BUKIT BATOK
0,POINT (103.751436333333 1.400119),CHOA CHU KANG
0,POINT (103.75147 1.36085),BUKIT BATOK
0,POINT (103.75159 1.35879),BUKIT BATOK
0,POINT (103.751848666667 1.39554883333333),CHOA CHU KANG
0,POINT (103.75206 1.3397),CLEMENTI
0,POINT (103.75209 1.32741),CLEMENTI
0,POINT (103.7521765 1.40269816666667),CHOA CHU KANG
0,POINT (103.752198216667 1.34476276666667),BUKIT BATOK
0,POINT (103.75243 1.328),CLEMENTI
0,POINT (103.7526 1.34485),BUKIT BATOK
0,POINT (103.7526155 1.32783833333333),CLEMENTI
0,POINT (103.7527 1.347002),BUKIT BATOK
0,POINT (103.752741833333 1.36461),BUKIT BATOK
0,POINT (103.75291 1.34937),BUKIT BATOK
0,POINT (103.75305 1.32705),CLEMENTI
0,POINT (103.75337 1.38151),CHOA CHU KANG
0,POINT (103.75359 1.34186),BUKIT BATOK
0,POINT (103.75368 1.3764),CHOA CHU KANG
0,POINT (103.753767833333 1.33911783333333),BUKIT BATOK
0,POINT (103.75377 1.38093),CHOA CHU KANG
0,POINT (103.75389 1.39427),SUNGEI KADUT
0,POINT (103.75402 1.38042),CHOA CHU KANG
0,POINT (103.75404 1.32672),CLEMENTI
0,POINT (103.7541 1.37855),CHOA CHU KANG
0,POINT (103.75413 1.32121),CLEMENTI
0,POINT (103.754219666667 1.35077133333333),BUKIT BATOK
0,POINT (103.754287833333 1.33916983333333),BUKIT BATOK
0,POINT (103.75429 1.34877),BUKIT BATOK
0,POINT (103.75438 1.38114),CHOA CHU KANG
0,POINT (103.75484 1.34628),BUKIT BATOK
0,POINT (103.754867 1.35412033333333),BUKIT BATOK
0,POINT (103.75534 1.40716),SUNGEI KADUT
0,POINT (103.755355166667 1.34425316666667),BUKIT BATOK
0,POINT (103.75536 1.34112),BUKIT BATOK
0,POINT (103.75538 1.34139),BUKIT BATOK
0,POINT (103.75549 1.34094),BUKIT BATOK
0,POINT (103.75558 1.34828),BUKIT BATOK
0,POINT (103.75559 1.34109),BUKIT BATOK
0,POINT (103.75563 1.34907),BUKIT BATOK
0,POINT (103.75574 1.34125),BUKIT BATOK
0,POINT (103.755796666667 1.34752533333333),BUKIT BATOK
0,POINT (103.7558 1.3262),CLEMENTI
0,POINT (103.75608 1.40563),SUNGEI KADUT
0,POINT (103.75626 1.31192),CLEMENTI
0,POINT (103.7563 1.34761),BUKIT BATOK
0,POINT (103.7564 1.3808),CHOA CHU KANG
0,POINT (103.756411166667 1.34924433333333),BUKIT BATOK
0,POINT (103.75717 1.37718),BUKIT BATOK
0,POINT (103.75728 1.31808),CLEMENTI
0,POINT (103.75734 1.37649),BUKIT BATOK
0,POINT (103.757623 1.35273283333333),BUKIT BATOK
0,POINT (103.75773 1.34916),BUKIT BATOK
0,POINT (103.757815333333 1.31105483333333),CLEMENTI
0,POINT (103.75787 1.34524),BUKIT BATOK
0,POINT (103.7579 1.343238),BUKIT BATOK
0,POINT (103.75793 1.33661),BUKIT BATOK
0,POINT (103.75842 1.34836),BUKIT BATOK
0,POINT (103.75846 1.34832),BUKIT BATOK
0,POINT (103.758746833333 1.33414616666667),CLEMENTI
0,POINT (103.75878 1.37778),BUKIT BATOK
0,POINT (103.758797166667 1.33417033333333),CLEMENTI
0,POINT (103.759036833333 1.34938433333333),BUKIT BATOK
0,POINT (103.75914 1.3244),CLEMENTI
0,POINT (103.75929 1.34006),BUKIT BATOK
0,POINT (103.75932 1.34165),BUKIT BATOK
0,POINT (103.759469166667 1.341279),BUKIT BATOK
0,POINT (103.7595 1.34966),BUKIT BATOK
0,POINT (103.75963 1.34006),BUKIT BATOK
0,POINT (103.75965 1.34006),BUKIT BATOK
0,POINT (103.75967 1.33691),BUKIT BATOK
0,POINT (103.75968 1.31145),CLEMENTI
0,POINT (103.7597 1.30827),CLEMENTI
0,POINT (103.75974 1.3125),CLEMENTI
0,POINT (103.760025833333 1.33608083333333),BUKIT BATOK
0,POINT (103.760341 1.3107585),CLEMENTI
0,POINT (103.760401 1.34559366666667),BUKIT BATOK
0,POINT (103.760475666667 1.3104905),CLEMENTI
0,POINT (103.7605 1.30814),CLEMENTI
0,POINT (103.7607 1.318668),CLEMENTI
0,POINT (103.760751666667 1.34516316666667),BUKIT BATOK
0,POINT (103.760817666667 1.38533666666667),BUKIT PANJANG
0,POINT (103.760890333333 1.31430066666667),CLEMENTI
0,POINT (103.760898816667 1.37959336666667),CHOA CHU KANG
0,POINT (103.76092 1.35452),BUKIT BATOK
0,POINT (103.76096 1.37958),CHOA CHU KANG
0,POINT (103.7611 1.34745),BUKIT BATOK
0,POINT (103.76116 1.30793),CLEMENTI
0,POINT (103.7612 1.345587),BUKIT BATOK
0,POINT (103.7614 1.345858),BUKIT BATOK
0,POINT (103.7614 1.38412),BUKIT PANJANG
0,POINT (103.76156 1.37922),BUKIT PANJANG
0,POINT (103.76174 1.31274),CLEMENTI
0,POINT (103.76174 1.37984),BUKIT PANJANG
0,POINT (103.7618 1.384184),BUKIT PANJANG
0,POINT (103.76223 1.38217),BUKIT PANJANG
0,POINT (103.76229 1.42572),SUNGEI KADUT
0,POINT (103.762438333333 1.3797005),BUKIT PANJANG
0,POINT (103.762581883333 1.38492976666667),BUKIT PANJANG
0,POINT (103.76259 1.3143),CLEMENTI
0,POINT (103.76259 1.32174),CLEMENTI
0,POINT (103.7626 1.37689),BUKIT PANJANG
0,POINT (103.76285 1.3188),CLEMENTI
0,POINT (103.76302 1.321),CLEMENTI
0,POINT (103.76303 1.3872),BUKIT PANJANG
0,POINT (103.76311 1.30625),CLEMENTI
0,POINT (103.76315 1.30449),CLEMENTI
0,POINT (103.7634 1.37247),BUKIT PANJANG
0,POINT (103.76353 1.31334),CLEMENTI
0,POINT (103.76384 1.29722),QUEENSTOWN
0,POINT (103.76384 1.31392),CLEMENTI
0,POINT (103.764 1.30342),CLEMENTI
0,POINT (103.76407 1.31773),CLEMENTI
0,POINT (103.7640895 1.38491833333333),BUKIT PANJANG
0,POINT (103.76413 1.37033),BUKIT PANJANG
0,POINT (103.764176166667 1.3600155),BUKIT BATOK
0,POINT (103.764401333333 1.31756231666667),CLEMENTI
0,POINT (103.76453 1.38615),BUKIT PANJANG
0,POINT (103.76465 1.37815),BUKIT PANJANG
0,POINT (103.76469 1.34747),BUKIT BATOK
0,POINT (103.76474 1.35686),BUKIT BATOK
0,POINT (103.764817833333 1.38543166666667),BUKIT PANJANG
0,POINT (103.76498 1.37667),BUKIT PANJANG
0,POINT (103.76501 1.36353),BUKIT BATOK
0,POINT (103.76504 1.34751),BUKIT BATOK
0,POINT (103.765102783333 1.38703005),BUKIT PANJANG
0,POINT (103.76528 1.42787),SUNGEI KADUT
0,POINT (103.76536 1.33283),BUKIT BATOK
0,POINT (103.76543 1.37826),BUKIT PANJANG
0,POINT (103.76547 1.36071),BUKIT BATOK
